HINDI,County,Municipality,Total Electors 2012,Voting Age Estimate 2012,Voter Turnout 2012,Total Electors 2016,Voting Age Estimate 2016,Voter Turnout 2016
02008,ASHLAND COUNTY,TOWN OF GINGLES,429,591,72.59%,430,603,71.31%
02010,ASHLAND COUNTY,TOWN OF GORDON,184,255,72.16%,149,255,58.43%
02012,ASHLAND COUNTY,TOWN OF JACOBS,379,556,68.17%,334,553,60.40%
02014,ASHLAND COUNTY,TOWN OF LA POINTE,270,225,120.00%,242,227,106.61%
02016,ASHLAND COUNTY,TOWN OF MARENGO,208,262,79.39%,212,262,80.92%
02018,ASHLAND COUNTY,TOWN OF MORSE,308,391,78.77%,297,397,74.81%
02020,ASHLAND COUNTY,TOWN OF PEEKSVILLE,108,126,85.71%,95,126,75.40%
02022,ASHLAND COUNTY,TOWN OF SANBORN,580,922,62.91%,496,921,53.85%
02024,ASHLAND COUNTY,TOWN OF SHANAGOLDEN,73,100,73.00%,63,99,63.64%
02026,ASHLAND COUNTY,TOWN OF WHITE RIVER,478,574,83.28%,463,585,79.15%
02106,ASHLAND COUNTY,VILLAGE OF BUTTERNUT,176,283,62.19%,177,289,61.25%
03206,BARRON COUNTY,CITY OF BARRON,"1,407","2,690",52.30%,"1,350","2,674",50.49%
03211,BARRON COUNTY,CITY OF CHETEK,990,"1,761",56.22%,"1,016","1,764",57.60%
03212,BARRON COUNTY,CITY OF CUMBERLAND,"1,061","1,723",61.58%,"1,114","1,747",63.77%
03276,BARRON COUNTY,CITY OF RICE LAKE,"4,048","6,706",60.36%,"3,885","6,903",56.28%
03002,BARRON COUNTY,TOWN OF ALMENA,485,701,69.19%,483,709,68.12%
03004,BARRON COUNTY,TOWN OF ARLAND,326,572,56.99%,317,588,53.91%
03006,BARRON COUNTY,TOWN OF BARRON,404,672,60.12%,375,677,55.39%
03008,BARRON COUNTY,TOWN OF BEAR LAKE,367,533,68.86%,376,538,69.89%
03010,BARRON COUNTY,TOWN OF CEDAR LAKE,648,838,77.33%,696,848,82.08%
03012,BARRON COUNTY,TOWN OF CHETEK,"1,050","1,427",73.58%,"1,054","1,443",73.04%
03014,BARRON COUNTY,TOWN OF CLINTON,356,659,54.02%,355,674,52.67%
03016,BARRON COUNTY,TOWN OF CRYSTAL LAKE,409,616,66.40%,411,627,65.55%
03018,BARRON COUNTY,TOWN OF CUMBERLAND,453,685,66.13%,464,691,67.15%
03020,BARRON COUNTY,TOWN OF DALLAS,296,427,69.32%,288,435,66.21%
03022,BARRON COUNTY,TOWN OF DOVRE,375,640,58.59%,385,659,58.42%
03024,BARRON COUNTY,TOWN OF DOYLE,285,364,78.30%,288,371,77.63%
03026,BARRON COUNTY,TOWN OF LAKELAND,574,790,72.66%,563,792,71.09%
03028,BARRON COUNTY,TOWN OF MAPLE GROVE,498,743,67.03%,485,751,64.58%
03030,BARRON COUNTY,TOWN OF MAPLE PLAIN,485,621,78.10%,480,628,76.43%
03032,BARRON COUNTY,TOWN OF OAK GROVE,502,721,69.63%,491,736,66.71%
03034,BARRON COUNTY,TOWN OF PRAIRIE FARM,273,419,65.16%,278,434,64.06%
03036,BARRON COUNTY,TOWN OF PRAIRIE LAKE,869,"1,222",71.11%,851,"1,242",68.52%
03038,BARRON COUNTY,TOWN OF RICE LAKE,"1,649","2,363",69.78%,"1,602","2,408",66.53%
03040,BARRON COUNTY,TOWN OF SIOUX CREEK,304,469,64.82%,294,487,60.37%
03042,BARRON COUNTY,TOWN OF STANFOLD,372,537,69.27%,381,546,69.78%
03044,BARRON COUNTY,TOWN OF STANLEY,"1,332","1,932",68.94%,"1,315","1,970",66.75%
03046,BARRON COUNTY,TOWN OF SUMNER,400,607,65.90%,392,620,63.23%
03048,BARRON COUNTY,TOWN OF TURTLE LAKE,302,471,64.12%,296,480,61.67%
03050,BARRON COUNTY,TOWN OF VANCE CREEK,312,493,63.29%,343,497,69.01%
03101,BARRON COUNTY,VILLAGE OF ALMENA,277,511,54.21%,303,503,60.24%
03111,BARRON COUNTY,VILLAGE OF CAMERON,759,"1,315",57.72%,793,"1,356",58.48%
03116,BARRON COUNTY,VILLAGE OF DALLAS,195,329,59.27%,180,316,56.96%
03136,BARRON COUNTY,VILLAGE OF HAUGEN,149,218,68.35%,159,220,72.27%
03151,BARRON COUNTY,VILLAGE OF NEW AUBURN,8,15,53.33%,12,20,60.00%
03171,BARRON COUNTY,VILLAGE OF PRAIRIE FARM,183,373,49.06%,192,368,52.17%
03186,BARRON COUNTY,VILLAGE OF TURTLE LAKE,408,754,54.11%,376,766,49.09%
04201,BAYFIELD COUNTY,CITY OF ASHLAND,0,0,,0,0,
04206,BAYFIELD COUNTY,CITY OF BAYFIELD,354,415,85.30%,346,415,83.37%
04291,BAYFIELD COUNTY,CITY OF WASHBURN,"1,191","1,660",71.75%,"1,202","1,666",72.15%
04002,BAYFIELD COUNTY,TOWN OF BARKSDALE,483,589,82.00%,474,599,79.13%
04004,BAYFIELD COUNTY,TOWN OF BARNES,567,707,80.20%,568,712,79.78%
04006,BAYFIELD COUNTY,TOWN OF BAYFIELD,534,579,92.23%,495,587,84.33%
04008,BAYFIELD COUNTY,TOWN OF BAYVIEW,368,404,91.09%,335,412,81.31%
04010,BAYFIELD COUNTY,TOWN OF BELL,226,242,93.39%,232,248,93.55%
04012,BAYFIELD COUNTY,TOWN OF CABLE,529,700,75.57%,512,704,72.73%
04014,BAYFIELD COUNTY,TOWN OF CLOVER,179,194,92.27%,174,195,89.23%
04016,BAYFIELD COUNTY,TOWN OF DELTA,211,221,95.48%,205,226,90.71%
04018,BAYFIELD COUNTY,TOWN OF DRUMMOND,332,372,89.25%,333,357,93.28%
04020,BAYFIELD COUNTY,TOWN OF EILEEN,421,531,79.28%,414,546,75.82%
04021,BAYFIELD COUNTY,TOWN OF GRAND VIEW,298,391,76.21%,292,395,73.92%
04022,BAYFIELD COUNTY,TOWN OF HUGHES,300,321,93.46%,299,324,92.28%
04024,BAYFIELD COUNTY,TOWN OF IRON RIVER,740,935,79.14%,731,958,76.30%
04026,BAYFIELD COUNTY,TOWN OF KELLY,251,331,75.83%,259,340,76.18%
04028,BAYFIELD COUNTY,TOWN OF KEYSTONE,214,309,69.26%,197,309,63.75%
04030,BAYFIELD COUNTY,TOWN OF LINCOLN,181,234,77.35%,182,239,76.15%
04032,BAYFIELD COUNTY,TOWN OF MASON,181,235,77.02%,165,239,69.04%
04034,BAYFIELD COUNTY,TOWN OF NAMAKAGON,228,230,99.13%,236,233,101.29%
04036,BAYFIELD COUNTY,TOWN OF ORIENTA,86,105,81.90%,90,106,84.91%
04038,BAYFIELD COUNTY,TOWN OF OULU,334,389,85.86%,336,398,84.42%
04040,BAYFIELD COUNTY,TOWN OF PILSEN,148,187,79.14%,139,188,73.94%
04042,BAYFIELD COUNTY,TOWN OF PORT WING,275,331,83.08%,262,332,78.92%
04046,BAYFIELD COUNTY,TOWN OF RUSSELL,639,925,69.08%,529,990,53.43%
04048,BAYFIELD COUNTY,TOWN OF TRIPP,145,184,78.80%,140,186,75.27%
04050,BAYFIELD COUNTY,TOWN OF WASHBURN,363,456,79.61%,341,466,73.18%
04151,BAYFIELD COUNTY,VILLAGE OF MASON,52,67,77.61%,41,68,60.29%
05216,BROWN COUNTY,CITY OF DE PERE,"13,531","18,321",73.86%,"13,242","18,935",69.93%
05231,BROWN COUNTY,CITY OF GREEN BAY,"46,918","78,857",59.50%,"44,340","79,982",55.44%
05010,BROWN COUNTY,TOWN OF EATON,907,"1,152",78.73%,927,"1,220",75.98%
05012,BROWN COUNTY,TOWN OF GLENMORE,640,841,76.10%,594,847,70.13%
05014,BROWN COUNTY,TOWN OF GREEN BAY,"1,179","1,555",75.82%,"1,215","1,592",76.32%
05018,BROWN COUNTY,TOWN OF HOLLAND,905,"1,097",82.50%,894,"1,127",79.33%
05022,BROWN COUNTY,TOWN OF HUMBOLDT,758,"1,006",75.35%,748,"1,033",72.41%
05024,BROWN COUNTY,TOWN OF LAWRENCE,"2,724","3,247",83.89%,"3,074","3,679",83.56%
05025,BROWN COUNTY,TOWN OF LEDGEVIEW,"4,073","4,877",83.51%,"4,331","5,324",81.35%
05026,BROWN COUNTY,TOWN OF MORRISON,900,"1,192",75.50%,879,"1,216",72.29%
05028,BROWN COUNTY,TOWN OF NEW DENMARK,925,"1,167",79.26%,940,"1,196",78.60%
05030,BROWN COUNTY,TOWN OF PITTSFIELD,"1,636","1,988",82.29%,"1,645","2,059",79.89%
05034,BROWN COUNTY,TOWN OF ROCKLAND,"1,059","1,252",84.58%,"1,095","1,318",83.08%
05036,BROWN COUNTY,TOWN OF SCOTT,"2,269","2,689",84.38%,"2,274","2,749",82.72%
05040,BROWN COUNTY,TOWN OF WRIGHTSTOWN,"1,220","1,619",75.36%,"1,250","1,661",75.26%
05102,BROWN COUNTY,VILLAGE OF ALLOUEZ,"8,220","11,144",73.76%,"7,975","11,015",72.40%
05104,BROWN COUNTY,VILLAGE OF ASHWAUBENON,"9,617","13,431",71.60%,"9,306","13,556",68.65%
05106,BROWN COUNTY,VILLAGE OF BELLEVUE,"7,834","10,916",71.77%,"7,987","11,500",69.45%
05116,BROWN COUNTY,VILLAGE OF DENMARK,"1,068","1,591",67.13%,"1,067","1,641",65.02%
05126,BROWN COUNTY,VILLAGE OF HOBART,"4,078","4,757",85.73%,"4,615","6,290",73.37%
05136,BROWN COUNTY,VILLAGE OF HOWARD,"9,978","13,376",74.60%,"10,351","14,296",72.40%
05171,BROWN COUNTY,VILLAGE OF PULASKI,"1,579","2,398",65.85%,"1,525","2,396",63.65%
05178,BROWN COUNTY,VILLAGE OF SUAMICO,"6,887","8,341",82.57%,"7,331","8,994",81.51%
05191,BROWN COUNTY,VILLAGE OF WRIGHTSTOWN,"1,337","1,839",72.70%,"1,374","1,847",74.39%
06201,BUFFALO COUNTY,CITY OF ALMA,454,694,65.42%,423,658,64.29%
06206,BUFFALO COUNTY,CITY OF BUFFALO CITY,567,845,67.10%,611,851,71.80%
06226,BUFFALO COUNTY,CITY OF FOUNTAIN CITY,474,738,64.23%,409,717,57.04%
06251,BUFFALO COUNTY,CITY OF MONDOVI,"1,157","2,111",54.81%,"1,162","2,123",54.73%
06002,BUFFALO COUNTY,TOWN OF ALMA,182,241,75.52%,182,248,73.39%
06004,BUFFALO COUNTY,TOWN OF BELVIDERE,252,328,76.83%,255,336,75.89%
06006,BUFFALO COUNTY,TOWN OF BUFFALO,408,543,75.14%,398,549,72.50%
06008,BUFFALO COUNTY,TOWN OF CANTON,141,232,60.78%,141,237,59.49%
06010,BUFFALO COUNTY,TOWN OF CROSS,212,285,74.39%,202,297,68.01%
06012,BUFFALO COUNTY,TOWN OF DOVER,243,338,71.89%,223,349,63.90%
06014,BUFFALO COUNTY,TOWN OF GILMANTON,232,330,70.30%,203,338,60.06%
06016,BUFFALO COUNTY,TOWN OF GLENCOE,236,355,66.48%,232,367,63.22%
06018,BUFFALO COUNTY,TOWN OF LINCOLN,111,142,78.17%,124,146,84.93%
06020,BUFFALO COUNTY,TOWN OF MAXVILLE,164,244,67.21%,177,251,70.52%
06022,BUFFALO COUNTY,TOWN OF MILTON,310,416,74.52%,340,422,80.57%
06024,BUFFALO COUNTY,TOWN OF MODENA,177,269,65.80%,162,275,58.91%
06026,BUFFALO COUNTY,TOWN OF MONDOVI,265,361,73.41%,251,365,68.77%
06028,BUFFALO COUNTY,TOWN OF MONTANA,150,206,72.82%,141,207,68.12%
06030,BUFFALO COUNTY,TOWN OF NAPLES,375,506,74.11%,368,514,71.60%
06032,BUFFALO COUNTY,TOWN OF NELSON,311,475,65.47%,317,303,104.62%
06034,BUFFALO COUNTY,TOWN OF WAUMANDEE,276,365,75.62%,292,371,78.71%
06111,BUFFALO COUNTY,VILLAGE OF COCHRANE,26,338,7.69%,201,339,59.29%
06154,BUFFALO COUNTY,VILLAGE OF NELSON,164,301,54.49%,174,303,57.43%
07002,BURNETT COUNTY,TOWN OF ANDERSON,211,308,68.51%,249,312,79.81%
07004,BURNETT COUNTY,TOWN OF BLAINE,121,166,72.89%,101,168,60.12%
07006,BURNETT COUNTY,TOWN OF DANIELS,379,517,73.31%,377,524,71.95%
07008,BURNETT COUNTY,TOWN OF DEWEY,263,404,65.10%,280,408,68.63%
07010,BURNETT COUNTY,TOWN OF GRANTSBURG,558,861,64.81%,563,873,64.49%
07012,BURNETT COUNTY,TOWN OF JACKSON,574,698,82.23%,570,715,79.72%
07014,BURNETT COUNTY,TOWN OF LA FOLLETTE,303,428,70.79%,308,434,70.97%
07016,BURNETT COUNTY,TOWN OF LINCOLN,161,254,63.39%,172,260,66.15%
07018,BURNETT COUNTY,TOWN OF MEENON,544,902,60.31%,553,908,60.90%
07020,BURNETT COUNTY,TOWN OF OAKLAND,555,708,78.39%,575,727,79.09%
07022,BURNETT COUNTY,TOWN OF ROOSEVELT,124,163,76.07%,109,167,65.27%
07024,BURNETT COUNTY,TOWN OF RUSK,243,334,72.75%,245,345,71.01%
07026,BURNETT COUNTY,TOWN OF SAND LAKE,286,425,67.29%,286,429,66.67%
07028,BURNETT COUNTY,TOWN OF SCOTT,418,455,91.87%,406,460,88.26%
07030,BURNETT COUNTY,TOWN OF SIREN,502,760,66.05%,526,769,68.40%
07032,BURNETT COUNTY,TOWN OF SWISS,412,654,63.00%,427,657,64.99%
07034,BURNETT COUNTY,TOWN OF TRADE LAKE,522,680,76.76%,506,685,73.87%
07036,BURNETT COUNTY,TOWN OF UNION,196,284,69.01%,204,289,70.59%
07038,BURNETT COUNTY,TOWN OF WEBB LAKE,282,293,96.25%,282,295,95.59%
07040,BURNETT COUNTY,TOWN OF WEST MARSHLAND,188,279,67.38%,195,282,69.15%
07042,BURNETT COUNTY,TOWN OF WOOD RIVER,528,715,73.85%,517,724,71.41%
07131,BURNETT COUNTY,VILLAGE OF GRANTSBURG,668,"1,025",65.17%,611,"1,030",59.32%
07181,BURNETT COUNTY,VILLAGE OF SIREN,359,618,58.09%,358,621,57.65%
07191,BURNETT COUNTY,VILLAGE OF WEBSTER,329,497,66.20%,323,500,64.60%
08201,CALUMET COUNTY,CITY OF APPLETON,"5,752","8,080",71.19%,"5,610","8,608",65.17%
08206,CALUMET COUNTY,CITY OF BRILLION,"1,564","2,382",65.66%,"1,566","2,457",63.74%
08211,CALUMET COUNTY,CITY OF CHILTON,"1,883","3,003",62.70%,"1,773","3,027",58.57%
08231,CALUMET COUNTY,CITY OF KAUKAUNA,0,0,,0,0,
08241,CALUMET COUNTY,CITY OF KIEL,154,246,62.60%,136,249,54.62%
08251,CALUMET COUNTY,CITY OF MENASHA,"1,335","1,609",82.97%,"1,524","1,875",81.28%
08261,CALUMET COUNTY,CITY OF NEW HOLSTEIN,"1,741","2,582",67.43%,"1,632","2,575",63.38%
08002,CALUMET COUNTY,TOWN OF BRILLION,822,"1,116",73.66%,822,"1,143",71.92%
08004,CALUMET COUNTY,TOWN OF BROTHERTOWN,767,"1,022",75.05%,737,"1,035",71.21%
08006,CALUMET COUNTY,TOWN OF CHARLESTOWN,468,598,78.26%,464,606,76.57%
08008,CALUMET COUNTY,TOWN OF CHILTON,627,867,72.32%,641,884,72.51%
08010,CALUMET COUNTY,TOWN OF HARRISON,"5,894","7,349",80.20%,304,896,33.93%
08012,CALUMET COUNTY,TOWN OF NEW HOLSTEIN,816,"1,153",70.77%,805,"1,168",68.92%
08014,CALUMET COUNTY,TOWN OF RANTOUL,438,596,73.49%,419,613,68.35%
08016,CALUMET COUNTY,TOWN OF STOCKBRIDGE,906,"1,167",77.63%,922,"1,198",76.96%
08018,CALUMET COUNTY,TOWN OF WOODVILLE,524,715,73.29%,511,721,70.87%
8131,CALUMET COUNTY,VILLAGE OF HARRISON,,,#DIV/0!,"5,888","6,900",85.33%
08136,CALUMET COUNTY,VILLAGE OF HILBERT,575,854,67.33%,532,902,58.98%
08160,CALUMET COUNTY,VILLAGE OF POTTER,140,181,77.35%,146,182,80.22%
08179,CALUMET COUNTY,VILLAGE OF SHERWOOD,"1,705","1,979",86.15%,"1,824","2,150",84.84%
08181,CALUMET COUNTY,VILLAGE OF STOCKBRIDGE,382,524,72.90%,394,544,72.43%
09206,CHIPPEWA COUNTY,CITY OF BLOOMER,"1,769","2,732",64.75%,"1,748","2,764",63.24%
09211,CHIPPEWA COUNTY,CITY OF CHIPPEWA FALLS,"6,306","10,617",59.40%,"6,397","10,887",58.76%
09213,CHIPPEWA COUNTY,CITY OF CORNELL,661,"1,147",57.63%,644,"1,147",56.15%
09221,CHIPPEWA COUNTY,CITY OF EAU CLAIRE,916,"1,428",64.15%,980,"1,487",65.90%
09281,CHIPPEWA COUNTY,CITY OF STANLEY,942,"3,050",30.89%,916,"3,104",29.51%
09002,CHIPPEWA COUNTY,TOWN OF ANSON,"1,215","1,651",73.59%,"1,281","1,725",74.26%
09004,CHIPPEWA COUNTY,TOWN OF ARTHUR,391,566,69.08%,364,575,63.30%
09006,CHIPPEWA COUNTY,TOWN OF AUBURN,364,522,69.73%,362,537,67.41%
09008,CHIPPEWA COUNTY,TOWN OF BIRCH CREEK,307,440,69.77%,313,450,69.56%
09010,CHIPPEWA COUNTY,TOWN OF BLOOMER,541,784,69.01%,551,816,67.52%
09012,CHIPPEWA COUNTY,TOWN OF CLEVELAND,413,679,60.82%,453,693,65.37%
09014,CHIPPEWA COUNTY,TOWN OF COLBURN,407,657,61.95%,414,685,60.44%
09016,CHIPPEWA COUNTY,TOWN OF COOKS VALLEY,391,578,67.65%,388,590,65.76%
09018,CHIPPEWA COUNTY,TOWN OF DELMAR,451,704,64.06%,439,729,60.22%
09020,CHIPPEWA COUNTY,TOWN OF EAGLE POINT,"1,852","2,424",76.40%,1907,"2,520",75.67%
09022,CHIPPEWA COUNTY,TOWN OF EDSON,428,734,58.31%,424,736,57.61%
09024,CHIPPEWA COUNTY,TOWN OF ESTELLA,212,332,63.86%,227,336,67.56%
09026,CHIPPEWA COUNTY,TOWN OF GOETZ,394,581,67.81%,418,604,69.21%
09028,CHIPPEWA COUNTY,TOWN OF HALLIE,100,130,76.92%,98,137,71.53%
09032,CHIPPEWA COUNTY,TOWN OF HOWARD,412,589,69.95%,416,600,69.33%
09034,CHIPPEWA COUNTY,TOWN OF LAFAYETTE,"3,384","4,488",75.40%,3440,"4,663",73.77%
09035,CHIPPEWA COUNTY,TOWN OF LAKE HOLCOMBE,570,866,65.82%,581,880,66.02%
09036,CHIPPEWA COUNTY,TOWN OF RUBY,219,340,64.41%,221,347,63.69%
09038,CHIPPEWA COUNTY,TOWN OF SAMPSON,472,687,68.70%,503,706,71.25%
09040,CHIPPEWA COUNTY,TOWN OF SIGEL,501,771,64.98%,509,775,65.68%
09042,CHIPPEWA COUNTY,TOWN OF TILDEN,847,"1,119",75.69%,865,"1,135",76.21%
09044,CHIPPEWA COUNTY,TOWN OF WHEATON,"1,605","2,073",77.42%,1568,"2,134",73.48%
09046,CHIPPEWA COUNTY,TOWN OF WOODMOHR,521,701,74.32%,568,718,79.11%
09106,CHIPPEWA COUNTY,VILLAGE OF BOYD,285,430,66.28%,289,436,66.28%
09111,CHIPPEWA COUNTY,VILLAGE OF CADOTT,639,"1,054",60.63%,611,"1,073",56.94%
09128,CHIPPEWA COUNTY,VILLAGE OF LAKE HALLIE,"3,309","4,936",67.04%,3455,"5,168",66.85%
09161,CHIPPEWA COUNTY,VILLAGE OF NEW AUBURN,222,373,59.52%,211,374,56.42%
10201,CLARK COUNTY,CITY OF ABBOTSFORD,673,"1,198",56.18%,634,"1,199",52.88%
10211,CLARK COUNTY,CITY OF COLBY,541,"1,008",53.67%,539,"1,009",53.42%
10231,CLARK COUNTY,CITY OF GREENWOOD,488,795,61.38%,526,801,65.67%
10246,CLARK COUNTY,CITY OF LOYAL,609,948,64.24%,563,953,59.08%
10261,CLARK COUNTY,CITY OF NEILLSVILLE,"1,154","1,914",60.29%,"1,059","1,920",55.16%
10265,CLARK COUNTY,CITY OF OWEN,432,719,60.08%,433,722,59.97%
10281,CLARK COUNTY,CITY OF STANLEY,1,4,25.00%,2,4,50.00%
10286,CLARK COUNTY,CITY OF THORP,764,"1,242",61.51%,737,"1,244",59.24%
10002,CLARK COUNTY,TOWN OF BEAVER,258,528,48.86%,255,531,48.02%
10004,CLARK COUNTY,TOWN OF BUTLER,47,77,61.04%,51,78,65.38%
10006,CLARK COUNTY,TOWN OF COLBY,273,590,46.27%,268,605,44.30%
10008,CLARK COUNTY,TOWN OF DEWHURST,182,274,66.42%,200,279,71.68%
10010,CLARK COUNTY,TOWN OF EATON,233,464,50.22%,244,471,51.80%
10012,CLARK COUNTY,TOWN OF FOSTER,75,85,88.24%,75,87,86.21%
10014,CLARK COUNTY,TOWN OF FREMONT,492,847,58.09%,502,860,58.37%
10016,CLARK COUNTY,TOWN OF GRANT,385,665,57.89%,390,682,57.18%
10018,CLARK COUNTY,TOWN OF GREEN GROVE,223,479,46.56%,221,482,45.85%
10020,CLARK COUNTY,TOWN OF HENDREN,218,381,57.22%,188,388,48.45%
10022,CLARK COUNTY,TOWN OF HEWETT,167,243,68.72%,175,248,70.56%
10024,CLARK COUNTY,TOWN OF HIXON,220,527,41.75%,208,534,38.95%
10026,CLARK COUNTY,TOWN OF HOARD,230,602,38.21%,240,620,38.71%
10028,CLARK COUNTY,TOWN OF LEVIS,245,382,64.14%,227,388,58.51%
10030,CLARK COUNTY,TOWN OF LONGWOOD,229,537,42.64%,229,541,42.33%
10032,CLARK COUNTY,TOWN OF LOYAL,266,508,52.36%,251,515,48.74%
10034,CLARK COUNTY,TOWN OF LYNN,268,560,47.86%,253,575,44.00%
10036,CLARK COUNTY,TOWN OF MAYVILLE,350,663,52.79%,352,663,53.09%
10038,CLARK COUNTY,TOWN OF MEAD,146,228,64.04%,142,237,59.92%
10040,CLARK COUNTY,TOWN OF MENTOR,249,447,55.70%,244,449,54.34%
10042,CLARK COUNTY,TOWN OF PINE VALLEY,619,909,68.10%,627,920,68.15%
10044,CLARK COUNTY,TOWN OF RESEBURG,188,467,40.26%,187,477,39.20%
10046,CLARK COUNTY,TOWN OF SEIF,103,142,72.54%,102,142,71.83%
10048,CLARK COUNTY,TOWN OF SHERMAN,351,593,59.19%,323,615,52.52%
10050,CLARK COUNTY,TOWN OF SHERWOOD,143,181,79.01%,150,184,81.52%
10052,CLARK COUNTY,TOWN OF THORP,288,539,53.43%,304,548,55.47%
10054,CLARK COUNTY,TOWN OF UNITY,313,584,53.60%,308,599,51.42%
10056,CLARK COUNTY,TOWN OF WARNER,256,459,55.77%,234,465,50.32%
10058,CLARK COUNTY,TOWN OF WASHBURN,147,229,64.19%,146,226,64.60%
10060,CLARK COUNTY,TOWN OF WESTON,313,488,64.14%,307,492,62.40%
10062,CLARK COUNTY,TOWN OF WITHEE,304,634,47.95%,282,644,43.79%
10064,CLARK COUNTY,TOWN OF WORDEN,240,418,57.42%,233,431,54.06%
10066,CLARK COUNTY,TOWN OF YORK,379,598,63.38%,344,600,57.33%
10111,CLARK COUNTY,VILLAGE OF CURTISS,55,153,35.95%,47,153,30.72%
10116,CLARK COUNTY,VILLAGE OF DORCHESTER,292,646,45.20%,294,649,45.30%
10131,CLARK COUNTY,VILLAGE OF GRANTON,169,262,64.50%,181,267,67.79%
10186,CLARK COUNTY,VILLAGE OF UNITY,68,109,62.39%,75,110,68.18%
10191,CLARK COUNTY,VILLAGE OF WITHEE,222,383,57.96%,244,384,63.54%
11211,COLUMBIA COUNTY,CITY OF COLUMBUS,"2,745","3,833",71.61%,"2,725","3,888",70.09%
11246,COLUMBIA COUNTY,CITY OF LODI,"1,670","2,255",74.06%,"1,755","2,297",76.40%
11271,COLUMBIA COUNTY,CITY OF PORTAGE,"4,263","8,057",52.91%,"4,058","8,071",50.28%
11291,COLUMBIA COUNTY,CITY OF WISCONSIN DELLS,"1,174","1,949",60.24%,"1,114","1,948",57.19%
11002,COLUMBIA COUNTY,TOWN OF ARLINGTON,496,618,80.26%,468,628,74.52%
11004,COLUMBIA COUNTY,TOWN OF CALEDONIA,881,"1,124",78.38%,879,"1,141",77.04%
11006,COLUMBIA COUNTY,TOWN OF COLUMBUS,377,486,77.57%,380,497,76.46%
11008,COLUMBIA COUNTY,TOWN OF COURTLAND,260,387,67.18%,254,390,65.13%
11010,COLUMBIA COUNTY,TOWN OF DEKORRA,"1,487","1,861",79.90%,"1,391","1,897",73.33%
11012,COLUMBIA COUNTY,TOWN OF FORT WINNEBAGO,556,676,82.25%,511,684,74.71%
11014,COLUMBIA COUNTY,TOWN OF FOUNTAIN PRAIRIE,524,679,77.17%,513,689,74.46%
11016,COLUMBIA COUNTY,TOWN OF HAMPDEN,356,452,78.76%,357,462,77.27%
11018,COLUMBIA COUNTY,TOWN OF LEEDS,512,629,81.40%,474,635,74.65%
11020,COLUMBIA COUNTY,TOWN OF LEWISTON,694,995,69.75%,685,"1,005",68.16%
11022,COLUMBIA COUNTY,TOWN OF LODI,"1,994","2,526",78.94%,"2,008","2,566",78.25%
11024,COLUMBIA COUNTY,TOWN OF LOWVILLE,659,810,81.36%,622,822,75.67%
11026,COLUMBIA COUNTY,TOWN OF MARCELLON,561,792,70.83%,521,805,64.72%
